site_name,ref_local_x,ref_local_y,ref_local_z,ref_global_x,ref_global_y,ref_global_z,rotate_angle_deg
tharangini,4940.654417,3067.17361,,802441.8441,1425851.369,,41.70016132
thecolumns,5692.33,4281.972,,804428.6687,1438036.296,,8.792
samethanahalli,5192.32651,3013.478954,,803426.2,1437053.65,,5.891614138
edifice,4967.61725,2999.048287,,633031.47,1160620.81,,0.8961577737
elania,5007.146966,3045.418348,,671330.2,1046546.67,,4.680057857
atrium,4999.463348,2986.349209,,643502.4,1110470.15,,7
golden_gate,4754.129355,2978.929209,,776088.11,1441473.57,,2.57727673
nice_quarry,107339.7581,94768.21671,,778086.12,1421545.11,,0.014
